"@timestamp","message"
"2023-08-24T02:41:04.132Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1243268927570206720"
"2023-08-24T02:41:04.127Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -5268977814113678539"
"2023-08-24T02:41:04.124Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 6538948135868226547"
"2023-08-24T02:41:04.118Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1171605900751024128"
"2023-08-24T02:41:04.116Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8792024790020424972"
"2023-08-24T02:41:04.112Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -3569917599332248240"
"2023-08-24T02:41:04.096Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1199171724857906167"
"2023-08-24T02:41:03.633Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3744982922611852098"
"2023-08-24T02:41:03.631Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1400960057381998592"
"2023-08-24T02:41:03.093Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1394733806574227456"
"2023-08-24T02:41:02.092Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1243323671036133376"
"2023-08-24T02:41:02.088Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -2139684393352929168"
"2023-08-24T02:41:02.087Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -1714548206601153489"
"2023-08-24T02:41:02.081Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -6046712088468703151"
"2023-08-24T02:41:02.080Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -3696547795134358590"
"2023-08-24T02:41:02.074Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3731269946527706923"
"2023-08-24T02:41:02.068Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -7549209066335310035"
"2023-08-24T02:41:02.068Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1242957745836257280"
"2023-08-24T02:41:02.066Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -7107554261249134384"
"2023-08-24T02:41:01.547Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 5178551384097918436"
"2023-08-24T02:41:00.070Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1242954025199202304"
"2023-08-24T02:41:00.061Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -5767469538829691744"
"2023-08-24T02:41:00.058Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -4664344632345081032"
"2023-08-24T02:41:00.055Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -6973260654598365169"
"2023-08-24T02:41:00.044Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 453419282973214646"
"2023-08-24T02:41:00.041Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -4739569096431270942"
"2023-08-24T02:41:00.039Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1052597208582696864"
"2023-08-24T02:41:00.026Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -3358531003331971397"
"2023-08-24T02:41:00.023Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8280386157773174560"
"2023-08-24T02:40:58.017Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 888136080975196160"
"2023-08-24T02:40:58.015Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 4693332000851043070"
"2023-08-24T02:40:58.011Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 2481580436684335345"
"2023-08-24T02:40:58.007Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8279737640166508676"
"2023-08-24T02:40:58.005Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876573333724909568"
"2023-08-24T02:40:58.000Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -7229789497551626722"
"2023-08-24T02:40:57.995Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -8095217398774153496"
"2023-08-24T02:40:57.488Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 860664519054716928"
"2023-08-24T02:40:56.011Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3348702057979964750"
"2023-08-24T02:40:56.005Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -8350495493145261616"
"2023-08-24T02:40:55.999Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876563463760039936"
"2023-08-24T02:40:55.999Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 792071821646112279"
"2023-08-24T02:40:55.997Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 860911951203454976"
"2023-08-24T02:40:55.989Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 903415192432562176"
"2023-08-24T02:40:55.987Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 850507071031799808"
"2023-08-24T02:40:53.985Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8611252080628037202"
"2023-08-24T02:40:53.975Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -5895126163509699133"
"2023-08-24T02:40:53.975Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876562798618923008"
"2023-08-24T02:40:53.972Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -5231498373066243897"
"2023-08-24T02:40:53.969Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 875413579698262016"
"2023-08-24T02:40:53.969Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 887750515650187264"
"2023-08-24T02:40:51.941Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 7763313584151381087"
"2023-08-24T02:40:51.939Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 862043805943975936"
"2023-08-24T02:40:51.935Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -1801150807464482329"
"2023-08-24T02:40:51.930Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 876573810202038272"
"2023-08-24T02:40:51.415Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -2865718939562969721"
"2023-08-24T02:40:51.095Z","DST Manager: [22222] Updating organisation tables: -5644810246099424346. Done."
"2023-08-24T02:40:51.094Z","DST Manager: [22222] Updating organisation tables: -696579994446564923. Done."
"2023-08-24T02:40:51.092Z","DST Manager: [22222] Updating organisation tables: -860828035514544840. Done."
"2023-08-24T02:40:51.091Z","DST Manager: [22222] Updating organisation tables: -259569381761318838. Done."
"2023-08-24T02:40:51.090Z","DST Manager: [22222] Updating organisation tables: 9130093923996043278. Done."
"2023-08-24T02:40:51.089Z","DST Manager: [22222] Updating organisation tables: 5875699704649043772. Done."
"2023-08-24T02:40:51.088Z","DST Manager: [22222] Updating organisation tables: 1743866010443837404. Done."
"2023-08-24T02:40:51.088Z","DST Manager: [22222] Updating organisation tables: 5056510143179988227. Done."
"2023-08-24T02:40:51.087Z","DST Manager: [22222] Updating organisation tables: 6383804691579097910. Done."
"2023-08-24T02:40:51.086Z","DST Manager: [22222] Updating organisation tables: 4408606493452270587. Done."
"2023-08-24T02:40:51.086Z","DST Manager: [22222] Updating organisation tables: 6523152330138851772. Done."
"2023-08-24T02:40:51.086Z","DST Manager: [22222] Updating organisation tables: -5057975352773745914. Done."
"2023-08-24T02:40:51.085Z","DST Manager: [22222] Updating organisation tables: 7550319858962809488. Done."
"2023-08-24T02:40:51.084Z","DST Manager: [22222] Updating organisation tables: -6779050731109659036. Done."
"2023-08-24T02:40:51.078Z","DST Manager: [22222] Updating organisation tables: 346540392667203373. Done."
"2023-08-24T02:40:49.904Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -8855274534670356739"
"2023-08-24T02:40:49.903Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 3056917746088223370"
"2023-08-24T02:40:49.899Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -4041424788138260115"
"2023-08-24T02:40:49.897Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -563295055051394035"
"2023-08-24T02:40:49.071Z","DST Manager: [22222] Updating organisation tables: -2978934415017545774. Done."
"2023-08-24T02:40:49.070Z","DST Manager: [22222] Updating organisation tables: -3732713843655400556. Done."
"2023-08-24T02:40:49.069Z","DST Manager: [22222] Updating organisation tables: 4743142870680444340. Done."
"2023-08-24T02:40:49.069Z","DST Manager: [22222] Updating organisation tables: 8422641239068046474. Done."
"2023-08-24T02:40:49.068Z","DST Manager: [22222] Updating organisation tables: -3501224296372452221. Done."
"2023-08-24T02:40:49.068Z","DST Manager: [22222] Updating organisation tables: 3846624601692772781. Done."
"2023-08-24T02:40:49.067Z","DST Manager: [22222] Updating organisation tables: 7071515180467942677. Done."
"2023-08-24T02:40:49.066Z","DST Manager: [22222] Updating organisation tables: 6017218451556403302. Done."
"2023-08-24T02:40:49.065Z","DST Manager: [22222] Updating organisation tables: 1234696303540976221. Done."
"2023-08-24T02:40:49.065Z","DST Manager: [22222] Updating organisation tables: -6128209825961882258. Done."
"2023-08-24T02:40:49.065Z","DST Manager: [22222] Updating organisation tables: 5122475517166498497. Done."
"2023-08-24T02:40:49.064Z","DST Manager: [22222] Updating organisation tables: 2606665033215867641. Done."
"2023-08-24T02:40:49.063Z","DST Manager: [22222] Updating organisation tables: 5294866051674178722. Done."
"2023-08-24T02:40:49.062Z","DST Manager: [22222] Updating organisation tables: 9112578383413901988. Done."
"2023-08-24T02:40:47.882Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 849316944202149888"
"2023-08-24T02:40:47.879Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 2101033237418535467"
"2023-08-24T02:40:47.879Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 1460227732568031452"
"2023-08-24T02:40:47.048Z","DST Manager: [22222] Updating organisation tables: 3511062743289354385. Done."
"2023-08-24T02:40:47.045Z","DST Manager: [22222] Updating organisation tables: 1990524000643981041. Done."
"2023-08-24T02:40:47.044Z","DST Manager: [22222] Updating organisation tables: -2468395253657398636. Done."
"2023-08-24T02:40:47.043Z","DST Manager: [22222] Updating organisation tables: -4455246203664198410. Done."
"2023-08-24T02:40:47.042Z","DST Manager: [22222] Updating organisation tables: -5985094519109974151. Done."
"2023-08-24T02:40:47.041Z","DST Manager: [22222] Updating organisation tables: 7826973907611280641. Done."
"2023-08-24T02:40:47.040Z","DST Manager: [22222] Updating organisation tables: -5578359659929793078. Done."
"2023-08-24T02:40:47.040Z","DST Manager: [22222] Updating organisation tables: -3780051197932908080. Done."
"2023-08-24T02:40:47.039Z","DST Manager: [22222] Updating organisation tables: -6645714076558183193. Done."
"2023-08-24T02:40:47.038Z","DST Manager: [22222] Updating organisation tables: -1322427526529387367. Done."
"2023-08-24T02:40:47.037Z","DST Manager: [22222] Updating organisation tables: -8236397764817011929. Done."
"2023-08-24T02:40:47.037Z","DST Manager: [22222] Updating organisation tables: -4509410049863252365. Done."
"2023-08-24T02:40:47.035Z","DST Manager: [22222] Updating organisation tables: -662669502293380847. Done."
"2023-08-24T02:40:45.873Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: 8488945698613806458"
"2023-08-24T02:40:45.871Z","Sending command UpdateAssetTimezoneDeviation to mobile unit: -6880016264814859356"
"2023-08-24T02:40:45.005Z","DST Manager: [22222] Updating organisation tables: -6994596095605698898. Done."
"2023-08-24T02:40:45.003Z","DST Manager: [22222] Updating organisation tables: -7362109598671170395. Done."
"2023-08-24T02:40:45.003Z","DST Manager: [22222] Updating organisation tables: -1370046000192100992. Done."
"2023-08-24T02:40:45.002Z","DST Manager: [22222] Updating organisation tables: 3419242498903337133. Done."
"2023-08-24T02:40:45.002Z","DST Manager: [22222] Updating organisation tables: 7909847766738651886. Done."
"2023-08-24T02:40:45.001Z","DST Manager: [22222] Updating organisation tables: -5299357492026723770. Done."
"2023-08-24T02:40:45.001Z","DST Manager: [22222] Updating organisation tables: -3763519080388487804. Done."
"2023-08-24T02:40:45.001Z","DST Manager: [22222] Updating organisation tables: 6208697860403603076. Done."
"2023-08-24T02:40:45.000Z","DST Manager: [22222] Updating organisation tables: 5489936822679125714. Done."
"2023-08-24T02:40:44.998Z","DST Manager: [22222] Updating organisation tables: 4579300890211755922. Done."
"2023-08-24T02:40:44.998Z","DST Manager: [22222] Updating organisation tables: 6059552404235314869. Done."
"2023-08-24T02:40:44.998Z","DST Manager: [22222] Updating organisation tables: 1081403527562116958. Done."
"2023-08-24T02:40:42.951Z","DST Manager: [22222] Updating organisation tables: 4689341703184645277. Done."
"2023-08-24T02:40:42.951Z","DST Manager: [22222] Updating organisation tables: 7461300862158731796. Done."
"2023-08-24T02:40:42.950Z","DST Manager: [22222] Updating organisation tables: -8371255190641483432. Done."
"2023-08-24T02:40:42.950Z","DST Manager: [22222] Updating organisation tables: -3342911372359225390. Done."
"2023-08-24T02:40:42.950Z","DST Manager: [22222] Updating organisation tables: -7015218169303023156. Done."
"2023-08-24T02:40:42.950Z","DST Manager: [22222] Updating organisation tables: -709184310393604720. Done."
"2023-08-24T02:40:42.950Z","DST Manager: [22222] Updating organisation tables: 4030404053401934310. Done."
"2023-08-24T02:40:42.950Z","DST Manager: [22222] Updating organisation tables: -2686835797817937407. Done."
"2023-08-24T02:40:42.947Z","DST Manager: [22222] Updating organisation tables: -252277091790349072. Done."
"2023-08-24T02:40:42.947Z","DST Manager: [22222] Updating organisation tables: 8114788276279448694. Done."
"2023-08-24T02:40:42.945Z","DST Manager: [22222] Updating organisation tables: 5781643154135224567. Done."
"2023-08-24T02:40:40.920Z","DST Manager: [22222] Updating organisation tables: 7018027399675734769. Done."
"2023-08-24T02:40:40.919Z","DST Manager: [22222] Updating organisation tables: -5610747027657436306. Done."
"2023-08-24T02:40:40.918Z","DST Manager: [22222] Updating organisation tables: -420195096327597444. Done."
"2023-08-24T02:40:40.917Z","DST Manager: [22222] Updating organisation tables: 4036779219063094058. Done."
"2023-08-24T02:40:40.916Z","DST Manager: [22222] Updating organisation tables: -7845857612558331931. Done."
"2023-08-24T02:40:40.915Z","DST Manager: [22222] Updating organisation tables: -3114727087208153790. Done."
"2023-08-24T02:40:40.914Z","DST Manager: [22222] Updating organisation tables: -1363049150666500343. Done."
"2023-08-24T02:40:40.913Z","DST Manager: [22222] Updating organisation tables: 209230802216944578. Done."
"2023-08-24T02:40:40.913Z","DST Manager: [22222] Updating organisation tables: -3696897480297892940. Done."
"2023-08-24T02:40:40.912Z","DST Manager: [22222] Updating organisation tables: -285418104492291496. Done."
"2023-08-24T02:40:40.538Z","DST Manager: [22222] Sending 64 commands could produce more errors. Please check the log."
"2023-08-24T02:40:40.537Z","DST Manager: [22222] Adding task 64 of 64. Org: 4036779219063094058 Mobileunit: 1400960057381998592"
"2023-08-24T02:40:40.536Z","DST Manager: [22222] Adding task 63 of 64. Org: 3222089765699420885 Mobileunit: -3569917599332248240"
"2023-08-24T02:40:40.535Z","DST Manager: [22222] Adding task 62 of 64. Org: 8086317002282707445 Mobileunit: 3744982922611852098"
"2023-08-24T02:40:40.534Z","DST Manager: [22222] Adding task 61 of 64. Org: -662669502293380847 Mobileunit: 1394733806574227456"
"2023-08-24T02:40:40.533Z","DST Manager: [22222] Adding task 60 of 64. Org: 6683530587170817171 Mobileunit: 1243323671036133376"
"2023-08-24T02:40:40.532Z","DST Manager: [22222] Adding task 59 of 64. Org: 6683530587170817171 Mobileunit: 1243268927570206720"
"2023-08-24T02:40:40.531Z","DST Manager: [22222] Adding task 58 of 64. Org: 6683530587170817171 Mobileunit: 1242957745836257280"
"2023-08-24T02:40:40.530Z","DST Manager: [22222] Adding task 57 of 64. Org: 6683530587170817171 Mobileunit: 1242954025199202304"
"2023-08-24T02:40:40.529Z","DST Manager: [22222] Adding task 56 of 64. Org: 3222089765699420885 Mobileunit: 1171605900751024128"
"2023-08-24T02:40:40.528Z","DST Manager: [22222] Adding task 55 of 64. Org: 5373602768183155046 Mobileunit: -4664344632345081032"
"2023-08-24T02:40:40.527Z","DST Manager: [22222] Adding task 54 of 64. Org: 5373602768183155046 Mobileunit: -3358531003331971397"
"2023-08-24T02:40:40.526Z","DST Manager: [22222] Adding task 53 of 64. Org: 5373602768183155046 Mobileunit: -6973260654598365169"
"2023-08-24T02:40:40.526Z","DST Manager: [22222] Adding task 52 of 64. Org: 5373602768183155046 Mobileunit: -3696547795134358590"
"2023-08-24T02:40:40.525Z","DST Manager: [22222] Adding task 51 of 64. Org: 5373602768183155046 Mobileunit: 6538948135868226547"
"2023-08-24T02:40:40.524Z","DST Manager: [22222] Adding task 50 of 64. Org: 5373602768183155046 Mobileunit: -2139684393352929168"
"2023-08-24T02:40:40.522Z","DST Manager: [22222] Adding task 49 of 64. Org: 5373602768183155046 Mobileunit: 8792024790020424972"
"2023-08-24T02:40:40.521Z","DST Manager: [22222] Adding task 48 of 64. Org: 5373602768183155046 Mobileunit: -7107554261249134384"
"2023-08-24T02:40:40.520Z","DST Manager: [22222] Adding task 47 of 64. Org: 5373602768183155046 Mobileunit: -8095217398774153496"
"2023-08-24T02:40:40.520Z","DST Manager: [22222] Adding task 46 of 64. Org: 5373602768183155046 Mobileunit: -7229789497551626722"
"2023-08-24T02:40:40.518Z","DST Manager: [22222] Adding task 44 of 64. Org: 5373602768183155046 Mobileunit: 1199171724857906167"
"2023-08-24T02:40:40.518Z","DST Manager: [22222] Adding task 45 of 64. Org: 5373602768183155046 Mobileunit: 8279737640166508676"
"2023-08-24T02:40:40.517Z","DST Manager: [22222] Adding task 43 of 64. Org: 5373602768183155046 Mobileunit: -7549209066335310035"
"2023-08-24T02:40:40.516Z","DST Manager: [22222] Adding task 42 of 64. Org: 5373602768183155046 Mobileunit: 8280386157773174560"
"2023-08-24T02:40:40.515Z","DST Manager: [22222] Adding task 41 of 64. Org: 5373602768183155046 Mobileunit: -5767469538829691744"
"2023-08-24T02:40:40.514Z","DST Manager: [22222] Adding task 40 of 64. Org: 5373602768183155046 Mobileunit: -4739569096431270942"
"2023-08-24T02:40:40.513Z","DST Manager: [22222] Adding task 38 of 64. Org: 5373602768183155046 Mobileunit: -6046712088468703151"
"2023-08-24T02:40:40.513Z","DST Manager: [22222] Adding task 39 of 64. Org: 5373602768183155046 Mobileunit: 3731269946527706923"
"2023-08-24T02:40:40.512Z","DST Manager: [22222] Adding task 37 of 64. Org: 2917825023515165344 Mobileunit: 1052597208582696864"
"2023-08-24T02:40:40.511Z","DST Manager: [22222] Adding task 36 of 64. Org: 5373602768183155046 Mobileunit: -1714548206601153489"
"2023-08-24T02:40:40.510Z","DST Manager: [22222] Adding task 35 of 64. Org: 5373602768183155046 Mobileunit: 5178551384097918436"
"2023-08-24T02:40:40.509Z","DST Manager: [22222] Adding task 34 of 64. Org: 5373602768183155046 Mobileunit: 3348702057979964750"
"2023-08-24T02:40:40.508Z","DST Manager: [22222] Adding task 33 of 64. Org: 5373602768183155046 Mobileunit: 2481580436684335345"
"2023-08-24T02:40:40.507Z","DST Manager: [22222] Adding task 32 of 64. Org: 5373602768183155046 Mobileunit: -5268977814113678539"
"2023-08-24T02:40:40.506Z","DST Manager: [22222] Adding task 31 of 64. Org: 5373602768183155046 Mobileunit: 453419282973214646"
"2023-08-24T02:40:40.505Z","DST Manager: [22222] Adding task 30 of 64. Org: 5373602768183155046 Mobileunit: -5895126163509699133"
"2023-08-24T02:40:40.504Z","DST Manager: [22222] Adding task 28 of 64. Org: 2917825023515165344 Mobileunit: 792071821646112279"
"2023-08-24T02:40:40.504Z","DST Manager: [22222] Adding task 29 of 64. Org: 5373602768183155046 Mobileunit: 4693332000851043070"
"2023-08-24T02:40:40.503Z","DST Manager: [22222] Adding task 27 of 64. Org: 5373602768183155046 Mobileunit: -5231498373066243897"
"2023-08-24T02:40:40.502Z","DST Manager: [22222] Adding task 26 of 64. Org: 5373602768183155046 Mobileunit: 8611252080628037202"
"2023-08-24T02:40:40.501Z","DST Manager: [22222] Adding task 25 of 64. Org: 5373602768183155046 Mobileunit: 903415192432562176"
"2023-08-24T02:40:40.500Z","DST Manager: [22222] Adding task 24 of 64. Org: 5373602768183155046 Mobileunit: 888136080975196160"
"2023-08-24T02:40:40.499Z","DST Manager: [22222] Adding task 23 of 64. Org: 5373602768183155046 Mobileunit: 887750515650187264"
"2023-08-24T02:40:40.498Z","DST Manager: [22222] Adding task 22 of 64. Org: 5373602768183155046 Mobileunit: 876573810202038272"
"2023-08-24T02:40:40.497Z","DST Manager: [22222] Adding task 21 of 64. Org: 5373602768183155046 Mobileunit: 876573333724909568"
"2023-08-24T02:40:40.497Z","DST Manager: [22222] Adding task 20 of 64. Org: 5373602768183155046 Mobileunit: 876563463760039936"
"2023-08-24T02:40:40.496Z","DST Manager: [22222] Adding task 19 of 64. Org: 5373602768183155046 Mobileunit: 876562798618923008"
"2023-08-24T02:40:40.495Z","DST Manager: [22222] Adding task 18 of 64. Org: 5373602768183155046 Mobileunit: 875413579698262016"
"2023-08-24T02:40:40.494Z","DST Manager: [22222] Adding task 17 of 64. Org: 5373602768183155046 Mobileunit: 862043805943975936"
"2023-08-24T02:40:40.493Z","DST Manager: [22222] Adding task 16 of 64. Org: 5373602768183155046 Mobileunit: 860911951203454976"
"2023-08-24T02:40:40.492Z","DST Manager: [22222] Adding task 15 of 64. Org: 5373602768183155046 Mobileunit: 860664519054716928"
"2023-08-24T02:40:40.490Z","DST Manager: [22222] Adding task 14 of 64. Org: 5373602768183155046 Mobileunit: 850507071031799808"
"2023-08-24T02:40:40.489Z","DST Manager: [22222] Adding task 13 of 64. Org: 5373602768183155046 Mobileunit: 849316944202149888"
"2023-08-24T02:40:40.488Z","DST Manager: [22222] Adding task 12 of 64. Org: 5373602768183155046 Mobileunit: 7763313584151381087"
"2023-08-24T02:40:40.487Z","DST Manager: [22222] Adding task 11 of 64. Org: 5373602768183155046 Mobileunit: -8350495493145261616"
"2023-08-24T02:40:40.486Z","DST Manager: [22222] Adding task 10 of 64. Org: 5373602768183155046 Mobileunit: -4041424788138260115"
"2023-08-24T02:40:40.486Z","DST Manager: [22222] Adding task 9 of 64. Org: 5373602768183155046 Mobileunit: 2101033237418535467"
"2023-08-24T02:40:40.486Z","DST Manager: [22222] Adding task 8 of 64. Org: 5373602768183155046 Mobileunit: -1801150807464482329"
"2023-08-24T02:40:40.484Z","DST Manager: [22222] Adding task 7 of 64. Org: 5373602768183155046 Mobileunit: -8855274534670356739"
"2023-08-24T02:40:40.484Z","DST Manager: [22222] Adding task 6 of 64. Org: 5373602768183155046 Mobileunit: 3056917746088223370"
"2023-08-24T02:40:40.483Z","DST Manager: [22222] Adding task 5 of 64. Org: 5373602768183155046 Mobileunit: -563295055051394035"
"2023-08-24T02:40:40.482Z","DST Manager: [22222] Adding task 4 of 64. Org: 2917825023515165344 Mobileunit: 8488945698613806458"
"2023-08-24T02:40:40.482Z","DST Manager: [22222] Adding task 3 of 64. Org: 5373602768183155046 Mobileunit: -6880016264814859356"
"2023-08-24T02:40:40.481Z","DST Manager: [22222] Adding task 2 of 64. Org: 5373602768183155046 Mobileunit: 1460227732568031452"
"2023-08-24T02:40:40.460Z","DST Manager: [22222] Adding task 1 of 64. Org: 5373602768183155046 Mobileunit: -2865718939562969721"
"2023-08-24T02:40:40.455Z","DST Manager: [22222] Converted 64 commands for sending. Mesa: 61. FM: 3"
"2023-08-24T02:40:40.451Z","DST Manager: [22222] Found 88 commands"
"2023-08-24T02:40:38.876Z","DST Manager: [22222] Updating organisation tables: 8226497664686357989. Done."
"2023-08-24T02:40:38.875Z","DST Manager: [22222] Updating organisation tables: 5937587917791754544. Done."
"2023-08-24T02:40:38.875Z","DST Manager: [22222] Updating organisation tables: -2368996085569005440. Done."
"2023-08-24T02:40:38.874Z","DST Manager: [22222] Updating organisation tables: -5785682803802374635. Done."
"2023-08-24T02:40:38.874Z","DST Manager: [22222] Updating organisation tables: 2949969500767588382. Done."
"2023-08-24T02:40:38.873Z","DST Manager: [22222] Updating organisation tables: 4244495271572673671. Done."
"2023-08-24T02:40:38.872Z","DST Manager: [22222] Updating organisation tables: -3464259244902024238. Done."
"2023-08-24T02:40:38.871Z","DST Manager: [22222] Updating organisation tables: 801577480108267051. Done."
"2023-08-24T02:40:38.871Z","DST Manager: [22222] Updating organisation tables: -8487817679575111001. Done."
"2023-08-24T02:40:36.838Z","DST Manager: [22222] Updating organisation tables: 4265558604363929147. Done."
"2023-08-24T02:40:36.837Z","DST Manager: [22222] Updating organisation tables: -8579112252005004918. Done."
